method,dataset,sample_count,fid,kid_mean,kid_std,kid_mean_x100,density,coverage,precision,recall,prdc_nearest_k,feature,resolution,seed
LAMP,CVC-300,60,139.3308590143727,0.04979477014918787,2.3442854334414168e-07,4.979477014918787,0.06000000238418579,0.15000000596046448,0.1666666716337204,0.7666667103767395,5,torch-fidelity InceptionV3 2048D,512x512_stretch,2020
LAMP,CVC-ClinicDB,62,146.95775258013595,0.03659965601164433,2.765088123962163e-07,3.6599656011644335,1.2419354915618896,0.9193547964096069,0.9677419066429138,0.6290322542190552,5,torch-fidelity InceptionV3 2048D,512x512_stretch,2020
LAMP,CVC-ColonDB,380,78.74660440481316,0.024388719499684363,0.003155954479992144,2.438871949968436,0.18789474666118622,0.32894739508628845,0.3973684310913086,0.6894736886024475,5,torch-fidelity InceptionV3 2048D,512x512_stretch,2020
LAMP,ETIS-LaribPolypDB,196,114.17809000341276,0.05735151304056188,0.0051994238680141865,5.735151304056188,0.12755101919174194,0.16836734116077423,0.34183672070503235,0.5,5,torch-fidelity InceptionV3 2048D,512x512_stretch,2020
LAMP,Kvasir-SEG,100,114.85962002408363,0.0266889050268309,3.2477368474836053e-07,2.66889050268309,0.828000009059906,0.9699999690055847,0.8799999952316284,0.7899999618530273,5,torch-fidelity InceptionV3 2048D,512x512_stretch,2020
LAMP,IPS-overall,798,61.02462918504233,0.017544823153409092,0.0035652527454659473,1.7544823153409093,0.3967418372631073,0.39724311232566833,0.6290726661682129,0.6428571343421936,5,torch-fidelity InceptionV3 2048D,512x512_stretch,2020
